country1,country2,best_copula,clayton_cvm,gumbel_cvm,gaussian_cvm,clayton_lambda_L,empirical_lambda_L,gumbel_lambda_U,gaussian_rho,n_obs
CZ,PT,gaussian,4.233374649457686e-05,2.4073457685850954e-05,1.75573637146528e-05,2.3768786387228817e-05,0.06955530216647662,0.05665997195344774,0.07912758630674434,87667
CZ,RO,gaussian,4.6665426226776185e-05,1.4836634725093534e-05,7.412766250858943e-06,0.0017418302375076162,0.0641259698767686,0.08907229752004886,0.12968574949556477,87545
CZ,RS,gaussian,0.00036419548554815257,0.00037431140219103113,0.00034159283753253073,1.3990324758163275e-05,0.0,0.05699834892014444,0.08330094139892373,26304
CZ,SE,gaussian,0.00010097676402876132,3.0761053438365324e-05,8.27877489811691e-06,0.06592561402386986,0.11519160583941605,0.1837781276577135,0.2492882909564279,87570
CZ,SI,clayton,0.0009426431674820179,0.001030565479963761,0.0009684915898359794,0.00020893341278350008,0.0,0.013687209743129536,0.028747240561094317,87647
CZ,SK,gaussian,0.015772038313124244,0.016035939243962325,0.014961728281915429,0.22663413323273313,0.0,0.255243820172701,0.3264824181278708,87140
DE,DK,gumbel,0.0008131436955571471,8.286124679453906e-05,0.0001496865251658043,0.507540382639763,0.25821167883211676,0.5319050372729088,0.6760573952643661,87670
DE,EE,gumbel,0.00019344640859455305,7.613921835174109e-06,3.653232442435254e-05,0.037230305816694405,0.08649885583524028,0.2079243521938765,0.2561309183088843,87396
DE,ES,gaussian,4.1958193201590374e-05,1.4971472042692835e-05,7.510391075134121e-06,0.00975041306891085,0.09721588315837518,0.10807983140380295,0.15909405145417696,87649
DE,FI,gaussian,0.0001166648547888276,3.0120948754499842e-05,1.1074929829825264e-05,0.06597174480492642,0.11367267747089706,0.18896897070747842,0.25576752183471757,87617
DE,FR,gumbel,0.0005658861674957586,1.4251776891475715e-05,8.776787582101062e-05,0.35667853111428177,0.22861054072553047,0.4372607863951241,0.5547306142809296,87653
DE,GB,gumbel,0.0006635842253129079,2.0541989030640845e-05,0.00011197743529999141,0.2809025788594599,0.135016211208893,0.4075347259289128,0.5056870581891297,86378
DE,GR,gumbel,2.3878759307082366e-05,5.806952011262172e-06,6.789745322093657e-06,4.357655585223245e-07,0.07028753993610223,0.05342938743130854,0.07281949969958552,87636
DE,HR,gaussian,7.243806893098154e-06,1.098026854316956e-05,3.6157438285961364e-06,8.25993905129866e-31,0.04334600760456274,0.013687209743129536,-0.010396585850339552,52608
DE,HU,gaussian,6.512954802657842e-05,2.4073980992271307e-05,5.298030230557479e-06,0.03731468425166776,0.09603102189781022,0.1474975318312295,0.20675386625356812,87671
DE,IE,gumbel,0.00028066385509769546,9.142166262789653e-06,4.5911369074577454e-05,0.08912632767915499,0.10525108919972484,0.25782946867198353,0.3209509150915315,87227
DE,IT,gumbel,9.443729136497081e-05,7.870261129570277e-06,1.56026287420319e-05,0.006708665304149292,0.0561515635699612,0.13924195038504594,0.18471767135951564,87622
DE,LT,gumbel,0.0003640736678029484,1.4686574480080788e-05,4.7762998454283615e-05,0.1657729718557073,0.10378228782287822,0.3083676232556769,0.38822928948306223,86719
DE,LU,gumbel,0.0008555436854087344,1.8043418626463982e-05,0.00014010309993940388,0.43871076922817204,0.21008211678832117,0.508494260061108,0.6348945558768094,87672
DE,LV,gumbel,0.00046177869773107966,0.00013732013630772928,0.00014170938137574393,0.11441868069799431,0.1187485727335008,0.25733581255093263,0.31874491489666984,87587
DE,NL,gumbel,0.0005837583619553845,0.00012192085941203699,0.00013424012560592439,0.5519453932280273,0.34215328467153283,0.5355052360778647,0.6949817727153539,87672
DE,NO,gaussian,0.00019327974069046703,3.313753517654704e-05,1.2880618713345477e-05,0.17888792797949365,0.14921286789869953,0.27539745750129896,0.3713178628655805,87668
DE,PL,gumbel,0.000898373878644643,2.222341975673455e-05,0.00014120729824604515,0.4372033887460443,0.21213503649635038,0.5103015678489959,0.6384248687170639,87672
DE,PT,gaussian,5.415809452656294e-05,2.4024399092207082e-05,2.0464586407560588e-05,0.00011479624300114433,0.0666058394160584,0.07394241880352115,0.10120477170275004,87672
DE,RO,gaussian,2.302574261657654e-05,1.3106299848226199e-05,3.970985476394849e-06,0.00025499480483804656,0.07720420283234354,0.06053865274959036,0.09141981244067476,87550
DE,RS,gumbel,0.0003525650090805127,0.0003250325153674391,0.00033061657781656596,7.522113626920058e-22,0.0,0.013687209743129536,0.026539188881984168,26304
DE,SE,gaussian,0.00022006008852064324,4.0432167972488446e-05,1.7428346367153746e-05,0.19869306199373288,0.15779858415163278,0.28633021081931753,0.3793502766205117,87575
DE,SI,clayton,0.0010160486305860307,0.0011779162674326073,0.0011422264923658218,0.001595933518657955,0.0,0.013687209743129536,0.03289751058351096,87652
DE,SK,gaussian,0.016598722235713858,0.016810978921984736,0.015921374501116737,0.1578695800129409,0.0,0.20723526599419761,0.26149102858679024,87145
DK,EE,gumbel,0.0002697918597343435,9.603733574739149e-06,5.223338763838323e-05,0.04898883034500888,0.07231121281464531,0.23642959776305617,0.28296304779922177,87394
DK,ES,gumbel,1.8936705985266923e-05,1.9422446739898854e-06,4.957641058212145e-06,0.00014706888444042696,0.07576449109995435,0.07913061315874725,0.10008884823745319,87647
DK,FI,gumbel,0.00012430418279991566,6.815553935602586e-06,2.026368457888359e-05,0.031805082931696003,0.09474885844748858,0.18764679643145055,0.23549533772388256,87615
DK,FR,gumbel,0.00018059916281677437,6.940057057748271e-06,2.9143490501204895e-05,0.046272433678640285,0.08852384211727128,0.21603639582946133,0.26954956792548224,87651
DK,GB,gumbel,0.00038558829243788437,1.3491139008494386e-05,5.971549494232208e-05,0.14615048385613735,0.09863394304237091,0.3092341682604052,0.37438398573497034,86376
DK,GR,gumbel,4.831134044206246e-05,9.782303488036734e-06,1.9011171342944307e-05,2.451015862273875e-07,0.0492925604746691,0.0817980571274366,0.09259552955270912,87634
DK,HR,gumbel,6.880575777330669e-06,3.23247155763189e-06,3.4403392647082767e-06,2.472429617164703e-17,0.050190114068441066,0.039621690901142426,0.036881207364962094,52607
DK,HU,gaussian,3.1169325525471365e-05,1.3061774509275742e-05,5.72166824954939e-06,0.00030950732831728356,0.06500912408759124,0.06788977290393428,0.099923877058401,87669
DK,IE,gumbel,0.0001153089876794946,5.43737344421585e-06,1.3286210173670437e-05,0.03645614270447438,0.08828250401284109,0.1855111006289054,0.2354009768511868,87227
DK,IT,gumbel,5.549217097307202e-05,3.2327007437811776e-06,1.1373400356875591e-05,7.49673498914549e-06,0.04222780187171878,0.09179869332113144,0.10851413144351935,87621
DK,LT,gumbel,0.00039885947253056513,7.965775147878931e-06,6.363737983352282e-05,0.1580721056873581,0.10309040590405905,0.3179221692611809,0.3877111862431092,86718
DK,LU,gumbel,0.00021916852436742405,4.6432544223070885e-06,3.321273086209693e-05,0.054939052690427315,0.07960766423357664,0.23200761345279197,0.2829615349036704,87670
DK,LV,gumbel,0.0005726804652887862,0.00012898023994127432,0.00015420100724397945,0.17366477889798274,0.13998629824160766,0.3135706880796294,0.3805327440164581,87585
DK,NL,gumbel,0.00031857141368182666,1.8786648877608382e-05,2.9279233320537623e-05,0.2583436456382004,0.15875912408759124,0.3540301598689579,0.46014075111449443,87670
DK,NO,gumbel,0.00030810728315997204,1.9816450834138086e-05,4.234882353545077e-05,0.2543487189621358,0.1884124087591241,0.34836210210789575,0.45667781298011756,87666
DK,PL,gumbel,0.0006656912224594775,1.6133336051128954e-05,8.251651787846808e-05,0.33167910546810275,0.17039233576642335,0.4311504561375359,0.5371183487683735,87670
DK,PT,gumbel,2.4808801526773867e-05,1.3134809237900824e-05,1.5144608773240556e-05,8.25993905129866e-31,0.04493613138686131,0.047825848965190154,0.04373206663178865,87670
DK,RO,gaussian,9.895110674479271e-06,7.769281393234409e-06,2.6660653973476654e-06,2.3423523322687366e-06,0.06008681745487777,0.03740665911839813,0.05800894832469163,87549
DK,RS,gaussian,0.00034658717530997696,0.0003367424141572421,0.00033015353171021884,8.25993905129866e-31,0.0,0.014438416394605635,0.010236169686988393,26304
DK,SE,gaussian,0.0003981233433941246,6.610020564266583e-05,5.2464541497024884e-05,0.35411015923771677,0.2372687828271295,0.40251622589554303,0.5191700888795331,87574
DK,SI,clayton,0.0010324424087536058,0.0010655986206154502,0.0010560273454425552,3.0893365596565334e-05,0.0,0.013687209743129536,0.02467984761742846,87650
DK,SK,clayton,0.01643543830308546,0.017180332455259004,0.0166116950839403,0.07000594862303204,0.0,0.1517583344425224,0.1947561926818701,87143
EE,ES,gumbel,1.2177034895204214e-05,2.503726745391823e-06,3.2643579415332066e-06,4.961544470318814e-07,0.07540683016273207,0.048091030803916635,0.06412280716101003,87374
EE,FI,gumbel,0.0003734895264657843,2.9237607352132293e-05,4.299916307709778e-05,0.2823281909178599,0.17453046266605587,0.3779260393653405,0.4752354937074187,87341
EE,FR,gumbel,9.470468033442144e-05,5.28030389828627e-06,1.4889284130262328e-05,0.004413596987789241,0.06255728689275894,0.1394645946144839,0.1747967027125014,87377
EE,GB,gumbel,0.00012694749672826432,4.225569151261266e-06,2.627450942875016e-05,0.008084189286795149,0.06758012076172783,0.17101658023113298,0.20065462406884227,86102
EE,GR,gumbel,7.579215839405866e-05,4.263291606700391e-06,1.0781752463948774e-05,0.0019230134122622813,0.052920962199312714,0.127552640294339,0.15895695144017183,87370
EE,HR,gaussian,9.552591557887633e-06,1.1155308965605064e-05,7.4238152116153756e-06,8.25993905129866e-31,0.04430863254392666,0.04523571327457465,0.027464428909554618,52603
EE,HU,gaussian,1.631949505612273e-05,9.235515651075557e-06,8.52600125688148e-06,8.903996642065647e-09,0.06068239065720174,0.031833601925047805,0.048210002944072156,87395
EE,IE,gumbel,8.979726185793268e-05,4.880375176824839e-06,1.3371337457357815e-05,0.0012215858912865477,0.0452769478280855,0.1238122252573417,0.15309630094290322,86952
EE,IT,gumbel,3.207064923975166e-05,3.064636336395708e-06,8.890603931694675e-06,1.9540546166826852e-07,0.055415617128463476,0.06980238284745899,0.07937556146750684,87347
EE,LT,gumbel,0.0007631679542733277,1.6374809694078586e-05,0.00010788894913285119,0.35455990712513535,0.16555222504035047,0.4560481988232534,0.5616368895000723,86455
EE,LU,gumbel,0.000103324773528224,5.21911904145445e-06,1.9850055521830936e-05,0.004286938196747682,0.07167391802152508,0.14633750144062563,0.17284494380382748,87396
EE,LV,gumbel,0.0012011428555898606,0.00020485351577411475,0.00038923989979075595,0.5096757609935886,0.3268393307357323,0.5432635507333718,0.6678450158027147,87313
EE,NL,gumbel,0.00011798567062666882,4.693206778022092e-06,2.0004353110445357e-05,0.0200895200824001,0.09457293336386535,0.1803565566966554,0.22426476733331202,87396
EE,NO,gumbel,0.00016183548633155853,2.1207962157662166e-05,2.5897565269149115e-05,0.08869375091445916,0.10167162811999084,0.23070585050969705,0.2983875188881591,87392
EE,PL,gumbel,0.00033972206478489954,9.073081561081117e-06,6.393132257491893e-05,0.11001465453507749,0.10464850011449507,0.28670192238723824,0.35102667620294137,87396
EE,PT,gumbel,2.260591393891294e-05,1.126866626840749e-05,1.4271862678328303e-05,8.25993905129866e-31,0.04534005037783375,0.03655726881025534,0.035387752231084424,87396
