year,month,month_name,n_countries,n_samples,min,max,mean,std,cv_aggregate,cv_individual_mean,cv_reduction
2022,2,Feb,28,672,30106.367499999997,115607.9725,78672.26019717263,20579.331179761022,0.26158306788420727,0.5878162356271733,55.499176097933066
2022,3,Mar,28,739,18997.7775,90350.6925,47127.757239512845,16347.429143651663,0.34687475282497965,0.8366695495245849,58.5410090492618
2022,4,Apr,28,718,10635.1125,109171.95250000001,50825.43927576602,24127.91615035726,0.4747212516835373,0.786543620660807,39.64463772718608
2022,5,May,28,743,9198.7075,76226.895,37764.31088492597,14547.68326815314,0.3852230565647632,0.8622006373543429,55.320949686743724
2022,6,Jun,28,720,10243.685000000001,55786.56250000001,30593.292743055554,8937.837353834886,0.2921502248516125,0.862339433784162,66.1212031589946
2022,7,Jul,28,739,12119.477499999999,65177.02499999998,34768.86129341453,11143.915438196533,0.3205142481990709,0.8099294880800968,60.42689482033353
2022,8,Aug,28,737,12681.87,51418.46249999999,28985.058527815465,6626.146025352024,0.22860557686965693,0.8305522968411179,72.47547472457492
2022,9,Sep,28,719,12959.597500000002,75670.8075,38728.51292420028,15315.223133786398,0.39545084428522886,0.8326950160548521,52.50952189448683
2022,10,Oct,28,679,19380.9425,91426.39499999997,51758.798958026506,12936.944245722796,0.2499467627951324,0.7697685337375223,67.52962067940804
2022,11,Nov,28,699,21731.907499999998,99917.88999999998,59394.89980686696,17149.26859714048,0.288733016688375,0.787360568440225,63.328997125121454
2022,12,Dec,28,743,17294.292500000003,115711.18500000001,55795.821181022875,23489.012270654468,0.4209815676777509,0.7712244304666219,45.41387032785773
2023,1,Jan,28,741,31983.407500000005,118532.635,73602.95652159244,21363.794645374233,0.29025728931292144,0.6973955708880476,58.37982037320448
2023,2,Feb,28,669,18644.305,99353.21250000001,60035.7548916293,19666.171101554,0.3275743119588228,0.7286495155868337,55.043638271686255
2023,3,Mar,28,736,20683.295000000002,124320.11000000002,64119.68458220109,21245.412891304273,0.3313399470028236,0.7075339915882802,53.1697485997771
2023,4,Apr,28,681,12563.294999999998,92769.46500000001,46999.868597650515,16925.282587505688,0.3601134022819751,0.7612144560928211,52.69225388461835
2023,5,May,28,739,20527.932500000006,79989.60250000001,43912.711231393776,12250.529599215195,0.2789745669462816,0.7372988460054487,62.16261988504185
2023,6,Jun,28,719,9316.390000000001,58186.99750000002,30367.846123087624,10477.761093914609,0.3450281278246049,0.8955909159588323,61.47480711601313
2023,7,Jul,28,743,12037.154999999999,74621.5175,41939.7936641992,14013.851194380166,0.3341421111077788,0.8110978934567588,58.803725936986105
2023,8,Aug,28,743,12673.342499999999,85201.7525,37033.460804172275,16762.830730700647,0.4526401358852238,0.9003688458968667,49.7272547858601
2023,9,Sep,28,715,13405.375,80763.91249999998,38999.85002214452,15922.619912613476,0.4082738755039429,0.8610745743671926,52.58553815690294
2023,10,Oct,28,736,19247.152499999997,106928.71500000001,61211.72207087861,19677.920876227756,0.32147308081681136,0.7340493665713316,56.20552302655355
2023,11,Nov,28,720,28545.69749999999,123433.355,72551.33325578705,22833.119512589717,0.31471674589478943,0.6943202091285937,54.672679585435866
